file,ne1,type1,cnt-1,ne2,type2,cnt-2,ne3,type3,cnt-3,ne4,type4,cnt-4,ne5,type5,cnt-5,ne6,type6,cnt-6,ne7,type7,cnt-7,ne8,type8,cnt-8,ne9,type9,cnt-9,ne10,type10,cnt-10,ne11,type11,cnt-11,ne12,type12,cnt-12,ne13,type13,cnt-13,ne14,type14,cnt-14,ne15,type15,cnt-15,ne16,type16,cnt-16,ne17,type17,cnt-17,ne18,type18,cnt-18,ne19,type19,cnt-19,ne20,type20,cnt-20
CTX193102990,Turnov,Settlement name (City/Town),2,Sychrově,Settlement name (City/Town),2,Prýdštejna,Settlement name (City/Town),2,STÁTNÍ PAMÁTKOVÝ ÚŘAD PRO CECHY V PRAZE,Organization/Society,1,4723 / 31,Number expression (General),1,Prydštejn,Settlement name (City/Town),1,Vec,Settlement name (City/Town),1,Ir,Inhabitant name,1,.,Itemizer (1.),1,Praha,Settlement name (City/Town),1,111 / 34,Number expression (General),1,15 . / • 19,Complex time expressions,1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,77,Cardinal number,1,719,Cardinal number,1,Usl,States/Provinces/Regions,1,Státnímu archeolorickému ustavu v Preze III,Organization/Society,1,Dr . J . . Šimák,Complex personal names,1,Okresnímu úřadu v Turnově,Organization/Society,1
CTX193103000,Praze,Settlement name (City/Town),2,Hoštce,Settlement name (City/Town),2,cm,Measure unit,2,1794,Year,1,Lína,Complex Address/Number/Time,1,Hoštka,Settlement name (City/Town),1,Litoměřic,Settlement name (City/Town),1,Sttátn ímu _ archéologickému ústavu V Hoštce u Litoměřic,Cult/Educational institution,1,16 . prosince 1931,Complex time expressions,1,5 . prosince 1931,Complex time expressions,1,26,Cardinal number,1,4,Cardinal number,1,Alfredu Ludwig - ovi,Complex personal names,1,Četnickému velitelství v Praze,Organization/Society,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193103021,STÁTNÍ PAMÁTKOVÝ ÚŘAD PRO CECHY V PRAZE,Organization/Society,1,4773 / 31,Number expression (General),1,Praha,Settlement name (City/Town),1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,Státnímu archeologickému ústavu v Praze,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200049,Kyši,Settlement name (City/Town),1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,7 . ledn al 932 . u uLedorm’,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200050,4,Volu-metric number,1,138,Number expression (General),1,Tatína,Settlement name (City/Town),1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Tetíně,Hydronym (Bodies of water),1,Praze,Settlement name (City/Town),1,7 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200053,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,7 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200057,ČSL,States/Provinces/Regions,1,STATIII ARCIILLOLOGICKÝ ÚSTAV,Cult/Educational institution,1,Buštěhradu,Settlement name (City/Town),1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,1,Itemizer (1.),1,Šichtanze,Surname,1,2,Itemizer (1.),1,3,Itemizer (1.),1,Fridricha,Complex personal names,1,P . Kouly,Complex personal names,1,Praze,Settlement name (City/Town),1,7 . ledna 1932,Complex time expressions,1,01,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200059,Dušník,Settlement name (City/Town),1,2,Itemizer (1.),1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Dušníkách,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,7 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200061,ČSL,States/Provinces/Regions,1,6,Itemizer (1.),1,193,Itemizer (1.),1,Červeného Újezda,Settlement name (City/Town),1,7,Itemizer (1.),1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,7 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200062,2,Number expression (General),1,-5,Cardinal number,1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Ďáblic,Settlement name (City/Town),1,Dr . Axamita,Complex personal names,1,Praze,Settlement name (City/Town),1,7 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200065,Slánské Hory,Nature/Landscape name (Mountain/River),2,0017,Number expression (General),1,3,Cardinal number,1,1932,Year,1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200068,Tišíc,Settlement name (City/Town),1,Brandýs,Settlement name (City/Town),1,n . L .,Settlement name (City/Town),1,p . Volfa,Complex personal names,1,Unhoště,Settlement name (City/Town),1,Tišic,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,7 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200071,Hostivio,Settlement name (City/Town),1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Hostivic,Settlement name (City/Town),1,Sbírky V Praze,Institution name (General),1,7 . ledna 1932,Complex time expressions,1,Berichs bel den Orisakton K,Cultural artifact (Book/Painting),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200076,AIT 193,Artifact name (General),1,"O . Břve , prehistorické nálezy , 4 éedete 7",Complex bibliographic expression,1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Brvách,Hydronym (Bodies of water),1,Ptáčka,Surname,1,Frahulově,Settlement name (City/Town),1,7 e ledna 1932,Complex time expressions,1,7,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200081,1,Itemizer (1.),1,Třebušic,Settlement name (City/Town),1,Slený,Territorial name (State/Region),1,Volfa,Surname,1,Unhoště,Settlement name (City/Town),1,Třebušicích,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,8 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200085,9 / 7 . 193.0,Complex time expressions,1,Unhoště,Settlement name (City/Town),1,7,Number expression (General),1,Unhošti,Settlement name (City/Town),1,Hamouzů,Surname,1,Volf,Personal name (General),1,p . Volf,Complex personal names,1,Praze,Settlement name (City/Town),1,8 . ledna 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200134,1911,Year,2,Ausgrabungen in Eger,Cultural artifact (Book/Painting),1,Kaiserburg,Settlement name (City/Town),1,Dr . Siegl,Complex personal names,1,Johann Gordon,Complex personal names,1,Ktaiserburg,Settlement name (City/Town),1,25 . Feber 1634,Complex time expressions,1,Wallensteins,Geographical name (General),1,Kinsky,Surname,1,Tertzky,Surname,1,Jllo,Surname,1,Neumann,Surname,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200168,1532,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200171,ARCITAEOLOGICKT ÚSTAV,Cult/Educational institution,1,2,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200211,Kačákem,Hydronym (Bodies of water),1,Jar . Petrbok,Complex personal names,1,CeskýKras,Nature/Landscape name (Mountain/River),1,Jo JoKafky,Complex personal names,1,Ka - ákem,Nature/Landscape name (Mountain/River),1,dr . Axamít,Complex personal names,1,1932,Year,1,Národního musea,Cult/Educational institution,1,Českého | Krasu,Nature/Landscape name (Mountain/River),1,Kačákem,Personal name (General),1,7,Itemizer (1.),1,2,Itemizer (1.),1,1934,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200261,G.CIY ÚST,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200266,26,Number expression (General),1,6,Number expression (General),1,30,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200285,cm,Measure unit,2,3,Cardinal number,1,m,Measure unit,1,Rojawitz,Surname,1,Bau derSux - Bobenbacher Eijenbahn 1870,Cult/Educational institution,1,Direktor Mauder,Complex personal names,1,.,Itemizer (1.),1,20,Cardinal number,1,Bensner Museumt,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200308,D r a ž e j o v,Settlement name (City/Town),1,B . Dubského,Complex personal names,1,Řepice,Settlement name (City/Town),1,154 / 32,Number expression (General),1,Hniličná h,Nature/Landscape name (Mountain/River),1,Praze,Settlement name (City/Town),1,4 . února 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200311,Chřeštovice,Settlement name (City/Town),1,Ase,Territorial name (State/Region),1,Hradiště sv . Jan,Settlement name (City/Town),1,B . Dubského,Complex personal names,1,Řepice,Settlement name (City/Town),1,154,Number expression (General),1,32,Number expression (General),1,MI . Písek,Complex personal names,1,Praze,Settlement name (City/Town),1,4 . února 1932,Complex time expressions,1,Orcakton,Surname,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200315,Rohozná,Settlement name (City/Town),1,3,Cardinal number,1,B . Dubského,Complex personal names,1,Řepice,Settlement name (City/Town),1,154 / 32,Number expression (General),1,Dovozné,Settlement name (City/Town),1,M . Strakonice,Complex personal names,1,Praze,Settlement name (City/Town),1,4 . února 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200316,3,Itemizer (1.),1,4,Itemizer (1.),1,Sedlo,Settlement name (City/Town),1,Sušice,Settlement name (City/Town),1,uč . B . Dubského,Complex personal names,1,Řepice,Settlement name (City/Town),1,154,Number expression (General),1,32,Number expression (General),1,M . Sušice,Complex personal names,1,Praze,Settlement name (City/Town),1,4 . února 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200354,1634,Year,3,1911,Year,3,4,Itemizer (1.),2,1,Itemizer (1.),2,Burg,Settlement name (City/Town),2,1694,Year,2,Kaiserburg,Settlement name (City/Town),2,Wallenstein,Surname,2,Jungen,Surname,1,Rittmeister,Surname,1,Ferdinandus,First name,1,983 58550200,Phone/Fax number,1,03,Number expression (General),1,1,Cardinal number,1,Boilere oon Elendebaut lange nichts anhaben honnte,Cultural artifact (Book/Painting),1,"Rittmeister H e u m a n n , der vormals Wallensteins Secretdr gewesen , retlrirte sic Im Cumulte , hart Unmitterbar nad ) diejem Blutbade erfolgte bann gegen 9",Cultural artifact (Book/Painting),1,Rittmeister Tieman,Complex personal names,1,25 . Sebruar 1634,Complex time expressions,1,"Ntats - prototol ] 1634 , Fol . 3 , erfolgte die Evmtordung „ zit Nachts wischen 8 und 9 Uhr "" . ) • ' : ( Bordon und die anderen verschlossen das Speise - oder vielmehrmordzimmer mit den todten Rrpern .",Complex bibliographic expression,1,Bordon hielt inzwlschen die Wact auf der Burg,Cultural artifact (Book/Painting),1
CTX193200441,cm,Measure unit,3,Most,Settlement name (City/Town),2,4,Volu-metric number,1,238,Number expression (General),1,2679 / 34,Number expression (General),1,Mostě,Settlement name (City/Town),1,Kopist,Settlement name (City/Town),1,Souše,Settlement name (City/Town),1,Mostu,Settlement name (City/Town),1,Janova,Settlement name (City/Town),1,V .,Ordinal number,1,12,Cardinal number,1,9,Cardinal number,1,8,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200460,Čechách,Territorial name (State/Region),2,Kč,Currency,2,"PRAHA II . , VYŠEHRADSKÁ 419",Complex Address/Number/Time,1,Čís,Product (General),1,341,Number expression (General),1,47,Number expression (General),1,341,Volu-metric number,1,48,Volu-metric number,1,PRAZE,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,18 . února 1933,Complex time expressions,1,"Státní ústav archeologický v Praze III , 2 Vlašská ul . čp .347 .",Complex Address/Number/Time,1,Rudolf Čermák,Complex personal names,1,Beroun,Settlement name (City/Town),1,17.t.m.pr ávoplatně,Complex time expressions,1,9,Cardinal number,1,34 . / 4 . 1930,Complex time expressions,1,Čermák,Surname,1,.,Itemizer (1.),1,4,Itemizer (1.),1
CTX193200503,341,Number expression (General),2,2,Number expression (General),2,PRAHA,Settlement name (City/Town),1,VYŠEHRADSKÁ,Super-terrestrial name (Star/Planet),1,419,Street address,1,ČtS,Radio/TV station,1,47,Number expression (General),1,ŠEK,Personal name (General),1,25,Number expression (General),1,1933,Year,1,48,Number expression (General),1,PRAZE,Settlement name (City/Town),1,15307,Number expression (General),1,607,Number expression (General),1,4,Number expression (General),1,Praze,Settlement name (City/Town),1,34 . února 1932,Complex time expressions,1,Státní ústav archeologický,Cult/Educational institution,1,Praha,Settlement name (City/Town),1,III,Number expression (General),1
CTX193200509,Praze,Settlement name (City/Town),2,PRAHA,Settlement name (City/Town),1,RADLICE,Urban geographical name (Street/Square),1,Praha,Settlement name (City/Town),1,25 . únore 1932,Complex time expressions,1,4 . . února 1938,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200510,570 / 32,Number expression (General),1,LUKAVEC,Settlement name (City/Town),1,Litoměřice,Territorial name (State/Region),1,Čížkovicích,Settlement name (City/Town),1,24,Number expression (General),1,Luka,Surname,1,199,Number expression (General),1,2,Number expression (General),1,198,Number expression (General),1,2 o,Cardinal number,1,AZpek,Artifact name (General),1,XI .,Ordinal number,1,2,Itemizer (1.),1,5,Number expression (General),1,200 / 3,Number expression (General),1,10,Cardinal number,1,3,Itemizer (1.),1,Prahy,Settlement name (City/Town),1,1 .,Ordinal number,1,Lovo -,Settlement name (City/Town),1
CTX193200564,19 . Feb . 18,Complex time expressions,1,STÁTNÍ PAMÁTKOVÝ ÚRAD PRO CECHY V PRAZE,Organization/Society,1,801,Number expression (General),1,‘ 32,Number expression (General),1,Praha,Settlement name (City/Town),1,2 . III . 19,Complex time expressions,1,2,Itemizer (1.),1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,Prase,Settlement name (City/Town),1,Burgermeisteramt Lobositz,Cult/Educational institution,1,Městský úřad v Lovosicích 2917,Organization/Society,1,1932,Number expression (General),1,Státní Archaeologický GICKÝ ÚSTAT,Organization/Society,1,3,Itemizer (1.),1,Ústav Praha III,Cult/Educational institution,1,Vlašská ul .,Super-terrestrial name (Star/Planet),1,347,Street address,1,564 / 32,Phone/Fax number,1,Lukavce,Settlement name (City/Town),1
CTX193200580,G . Bericht,Complex personal names,1,300,Cardinal number,1,7,Cardinal number,1,"""",Measure unit,1,3,Cardinal number,1,1* /,Cardinal number,1,35,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200583,7 / . 193,Complex time expressions,1,AtU,Cult/Educational institution,1,22 . . /,Complex time expressions,1,7,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200664,I,Number expression (General),5,V,Number expression (General),4,Boleslav,Settlement name (City/Town),3,5,Volu-metric number,3,1,Number expression (General),2,6,Volu-metric number,2,64,Cardinal number,1,2,Number expression (General),1,p.Rudolfs Sajdla,Complex personal names,1,243,Number expression (General),1,ŘEPOv,Settlement name (City/Town),1,Boleslev,Settlement name (City/Town),1,Rudolfa Sajdla,Complex personal names,1,243 / 1,Number expression (General),1,43 / 34,Number expression (General),1,13,Number expression (General),1,října,Month,1,1931,Year,1,5 .,Volu-metric number,1,794,Volu-metric number,1
CTX193200680,mm,Measure unit,4,70,Cardinal number,3,1,Itemizer (1.),2,4,Itemizer (1.),2,5,Itemizer (1.),2,1932,Year,1,2005,Year,1,Mecá Boleslav,Territorial name (State/Region),1,Mladé Boleslavi,Settlement name (City/Town),1,31 . prosince 1931,Complex time expressions,1,11 11,Number expression (General),1,2,Itemizer (1.),1,75,Cardinal number,1,85,Cardinal number,1,06,Number expression (General),1,3,Itemizer (1.),1,60,Cardinal number,1,Obr,Artifact name (General),1,3,Volu-metric number,1,80,Cardinal number,1
CTX193200683,Mladé Boleslavi,Settlement name (City/Town),1,llQmm,Cardinal number,1,Praze,Settlement name (City/Town),1,24 . března 1932,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200687,3,Cardinal number,2,Mladé Boleslavi,Settlement name (City/Town),1,1 /,Cardinal number,1,6,Cardinal number,1,mra,Measure unit,1,57,Cardinal number,1,70,Cardinal number,1,mm,Measure unit,1,2,Itemizer (1.),1,3,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200689,mm,Measure unit,2,Mladá Boleslav,Territorial name (State/Region),1,Museu,Cult/Educational institution,1,Mladé Boleslavi,Settlement name (City/Town),1,31 . prosince 1932,Complex time expressions,1,1,Itemizer (1.),1,170,Cardinal number,1,177,Cardinal number,1,mn,Measure unit,1,2,Itemizer (1.),1,82,Cardinal number,1,78,Cardinal number,1,00,Cardinal number,1,2,Cardinal number,1,49,Cardinal number,1,57,Cardinal number,1,Praze,Settlement name (City/Town),1,21 březne 1932,Complex time expressions,1,G . G .,Complex personal names,1,,,0
CTX193200693,30,Cardinal number,2,2,Cardinal number,1,Prof . Dr . Leonhar Frans,Complex personal names,1,Steín,Artifact name (General),1,Ramerad,Surname,1,1931,Year,1,152,Number expression (General),1,2,Number expression (General),1,20,Cardinal number,1,Brunnen,Surname,1,Srube war eíne von ben tieferen,Cultural artifact (Book/Painting),1,3,Cardinal number,1,1.54,Hour,1,8 . B .,Complex time expressions,1,Diese Renntnís hat uns eín,Cultural artifact (Book/Painting),1,4,Volu-metric number,1,4,Itemizer (1.),1,50,Cardinal number,1,3,Number expression (General),1,1,Itemizer (1.),1
CTX193200700,Ncolsz,Surname,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200758,Stát ní / archeologickému ustavu v Praze,Organization/Society,1,Váchy,Surname,1,Vácha,Surname,1,Va Va,Organization/Society,1,Tišících,Settlement name (City/Town),1,Ho,Cardinal number,1,cm,Measure unit,1,Všetátech,Settlement name (City/Town),1,4,Number expression (General),1,1932,Year,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200770,Střekova,Settlement name (City/Town),3,Cech,Institution name (General),2,Schreckenstein,Surname,1,1932,Year,1,J,First name,1,"A.Z.Pondelnik "" , Prag , den 4.4 . 1932",Complex bibliographic expression,1,Z Ústi nad L a b em,Settlement name (City/Town),1,3 dubna,Complex time expressions,1,Streková,Surname,1,"M.Oatrau , den 4.4 . 1932",Complex bibliographic expression,1,Ústi nad Labem,Settlement name (City/Town),1,3 . dubna,Complex time expressions,1,Střckov,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193200777,mm,Measure unit,24,1,Volu-metric number,3,3,Volu-metric number,3,135,Cardinal number,2,2,Itemizer (1.),2,70,Cardinal number,2,2,Volu-metric number,2,150,Cardinal number,2,4,Itemizer (1.),2,4,Volu-metric number,2,90,Cardinal number,2,50,Cardinal number,2,105,Cardinal number,2,100,Cardinal number,2,VŠETATY,Settlement name (City/Town),1,Brandýs n . L .,Settlement name (City/Town),1,Tomáše Váchy,Complex personal names,1,Okresní jednoty musejní,Cult/Educational institution,1,Brandýse n . L .,Settlement name (City/Town),1,11,Cardinal number,1
